Asset tag,Model category,Display name,Assigned to,Company,State,Substate,Cost,Configuration Item
4NS6SY2,Computers,4NS6SY2 - Dell Precision 5820 (Graphics),,,In Stock,Available,$0.00,4NS6SY2
VF00013017,Computers,"VF00013017 - Apple MacBook Pro MacBookPro15,1",,"VF Services, LLC",In Stock,Available,$0.00,C02X8B4YJG5J
VFNA010027,Computers,VFNA010027 - Dell XPS (Notebook) 13 (9365),,"VF Services, LLC",In Stock,Available,$0.00,2DR2ZM2
VFNA016451,Computers,VFNA016451 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,38977S2
VFNA016519,Computers,VFNA016519 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,8JWXST2
VFNA016522,Computers,VFNA016522 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,GKWXST2
VFNA016547,Computers,VFNA016547 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,4NRSST2
VFNA016567,Computers,VFNA016567 - Dell OptiPlex 3050,,"VF Services, LLC",In Stock,Available,$0.00,4ZNPCV2
VFNA016697,Computers,VFNA016697 - Dell Latitude 7390 2n1,,"VF Services, LLC",In Stock,Available,$0.00,JZWVVT2
VFNA016698,Computers,VFNA016698 - Dell Latitude 7390 2n1,,"VF Services, LLC",In Stock,Available,$0.00,G1XVVT2
VFNA016699,Computers,VFNA016699 - Dell Latitude 7390 2n1,,"VF Services, LLC",In Stock,Available,$0.00,90XVVT2
VFNA016701,Computers,VFNA016701 - Dell Latitude 7390 2n1,,"VF Services, LLC",In Stock,Available,$0.00,G92WVT2
VFNA016702,Computers,VFNA016702 - Dell Latitude 7390 2n1,,"VF Services, LLC",In Stock,Available,$0.00,FWWVVT2
VFNA017669,Computers,VFNA017669 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,7MMG0X2
VFNA017678,Computers,VFNA017678 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,GQHH0X2
VFNA017709,Computers,VFNA017709 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,41WH0X2
VFNA017758,Computers,VFNA017758 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,BTSG0X2
VFNA017759,Computers,VFNA017759 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,3FMG0X2
VFNA018369,Computers,VFNA018369 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,C5TGTG2
VFNA018439,Computers,VFNA018439 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,BQ7V7Y2
VFNA018461,Computers,VFNA018461 - Dell Latitude 7490,,"VF Services, LLC",In Stock,Available,$0.00,F63W7Y2
VFNA019182,Computers,VFNA019182 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LJ4Z2
VFNA019184,Computers,VFNA019184 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LL4Z2
VFNA019186,Computers,VFNA019186 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LN4Z2
VFNA019188,Computers,VFNA019188 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LQ4Z2
VFNA019189,Computers,VFNA019189 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LR4Z2
VFNA019191,Computers,VFNA019191 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6LT4Z2
VFNA019192,Computers,VFNA019192 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6MJ4Z2
VFNA019193,Computers,VFNA019193 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6MK4Z2
VFNA019195,Computers,VFNA019195 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6MM4Z2
VFNA019201,Computers,VFNA019201 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6MT4Z2
VFNA019202,Computers,VFNA019202 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6NJ4Z2
VFNA019203,Computers,VFNA019203 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6NK4Z2
VFNA019204,Computers,VFNA019204 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6NL4Z2
VFNA019207,Computers,VFNA019207 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6NP4Z2
VFNA019209,Computers,VFNA019209 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6NR4Z2
VFNA019215,Computers,VFNA019215 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6PM4Z2
VFNA019216,Computers,VFNA019216 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6PN4Z2
VFNA019222,Computers,VFNA019222 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6QJ4Z2
VFNA019226,Computers,VFNA019226 - Dell OptiPlex 3060,,"VF Services, LLC",In Stock,Available,$0.00,B6QN4Z2
VFNA020026,Computers,VFNA020026 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,2WDJTG2
VFNA020027,Computers,VFNA020027 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,8ZDJTG2
VFNA020028,Computers,VFNA020028 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,1WDJTG2
VFNA020029,Computers,VFNA020029 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,4WDJTG2
VFNA020030,Computers,VFNA020030 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,1XDJTG2
VFNA020031,Computers,VFNA020031 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,5XDJTG2
VFNA020032,Computers,VFNA020032 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,6YDJTG2
VFNA020033,Computers,VFNA020033 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,BZDJTG2
VFNA020034,Computers,VFNA020034 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,9YDJTG2
VFNA020035,Computers,VFNA020035 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,HTDJTG2
VFNA020036,Computers,VFNA020036 - Dell Latitude 7212,,"VF Services, LLC",In Stock,Available,$0.00,2YDJTG2
VFNA020095,Computers,VFNA020095 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,DHK8YY2
VFNA020096,Computers,VFNA020096 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,GY0BYY2
VFNA020097,Computers,VFNA020097 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8JK8YY2
VFNA020098,Computers,VFNA020098 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,4JK8YY2
VFNA020099,Computers,VFNA020099 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9JK8YY2
VFNA020100,Computers,VFNA020100 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,DRC8YY2
VFNA020101,Computers,VFNA020101 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,FMK8YY2
VFNA020102,Computers,VFNA020102 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,CXX8YY2
VFNA020103,Computers,VFNA020103 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,5MK8YY2
VFNA020104,Computers,VFNA020104 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,3F39YY2
VFNA020105,Computers,VFNA020105 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,9WX8YY2
VFNA020106,Computers,VFNA020106 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,2WC8YY2
VFNA020107,Computers,VFNA020107 - Dell Latitude 7400,,"VF Services, LLC",In Stock,Available,$0.00,8WC8YY2
